4, 15, 8, 17, 20, 33, 1, 27, 29, 29, 6, 18, 29, 31, 12, 8, 16, 18, 18, 22, 23, 18, 28, 21, 1, 28, 7, 36, 0, 26,
25, 19, 17, 9, 15, 11, 4, 15, 4, 10, 1, 29, 23, 22, 0, 31, 21, 25, 29, 16, 14, 0, 12, 15, 28, 30, 32, 3, 36, 10,
33, 17, 27, 24, 27, 31, 0, 30, 10, 19, 10, 29, 36, 3, 9, 12, 31, 20, 5, 15, 33, 4, 21, 11, 26, 7, 23, 1, 7, 7,
6, 11, 16, 19, 9, 5, 14, 32, 32, 4, 21, 21, 7, 15, 6, 7, 20, 19, 12, 25, 28, 1, 23, 33, 26, 17, 16, 14, 19, 17,
14, 12, 5, 20, 11, 18, 23, 13, 0, 4, 32, 19, 17, 8, 30, 16, 26, 5, 25, 11, 35, 10, 36, 32, 23, 35, 19, 31, 31, 7,
18, 9, 8, 33, 24, 35, 2, 36, 0, 10, 34, 34, 4, 25, 27, 31, 7, 25, 4, 28, 17, 0, 9, 17, 3, 7, 18, 27, 22, 26,
18, 6, 23, 8, 30, 17, 6, 12, 31, 15, 27, 18, 12, 5, 4, 20, 9, 34, 7, 30, 17, 32, 5, 23, 23, 27, 17, 23, 5, 20,
3, 32, 2, 28, 24, 1, 7, 27, 8, 13, 24, 14, 25, 22, 16, 24, 22, 27, 19, 25, 2, 6, 12, 20, 22, 34, 16, 8, 35, 17,
33, 34, 0, 12, 5, 19, 28, 16, 20, 24, 6, 4, 18, 35, 24, 0, 13, 10, 0, 17, 1, 17, 36, 16, 3, 27, 36, 18, 4, 16,
18, 9, 27, 34, 33, 5, 30, 16, 27, 36, 17, 26, 7, 2, 17, 11, 7, 5, 22, 32, 31, 15, 32, 24, 25, 6, 26, 33, 19, 25,
16, 20, 16, 14, 29, 2, 33, 27, 18, 8, 35, 14, 20, 36, 16, 19, 6, 14, 21, 6, 33, 12, 9, 15, 36, 36, 8, 25, 7, 31,
29, 32, 5, 9, 9, 34, 25, 13, 17, 22, 27, 29, 12, 23, 23, 29, 1, 6, 20, 34, 20, 36, 30, 12, 0, 29, 13, 2, 19, 36,
26, 31, 31, 18, 31, 7, 5, 30, 19, 29, 2, 0, 14, 22, 31, 33, 35, 23, 16, 32, 16, 11, 18, 15, 16, 12, 29, 14, 11, 32,
31, 19, 24, 36, 22, 5, 26, 27, 23, 8, 28, 27, 32, 29, 12, 33, 22, 33, 36, 26, 12, 1, 34, 15, 4, 34, 35, 20, 32, 20,
34, 19, 18, 20, 25, 14, 4, 6, 0, 8, 16, 16, 1, 30, 21, 21, 5, 6, 32, 1, 28, 11, 8, 34, 16, 33, 6, 4, 4, 6,
4, 16, 32, 14, 35, 6, 22, 1, 33, 36, 35, 9, 25, 24, 24, 34, 5, 7, 16, 28, 29, 11, 12, 22, 29, 9, 19, 18, 29, 34,
14, 4, 19, 4, 10, 16, 14, 11, 24, 23, 11, 2, 2, 7, 13, 32, 5, 16, 31, 2, 27, 2, 24, 17, 34, 33, 26, 22, 9, 0,
2, 26, 2, 32, 16, 17, 0, 25, 9, 8, 3, 17, 5, 36, 36, 24, 15, 0, 16, 24, 22, 5, 20, 24, 34, 8, 33, 15, 7, 16,
8, 34, 20, 9, 33, 25, 26, 3, 24, 35, 16, 21, 1, 17, 23, 17, 13, 3, 15, 36, 18, 10, 13, 35, 19, 10, 35, 3, 14, 25,
14, 19, 28, 7, 29, 8, 2, 36, 19, 24, 0, 4, 3, 15, 26, 13, 21, 7, 26, 15, 8, 22, 0, 25, 33, 23, 5, 13, 11, 22,
34, 5, 14, 26, 0, 33, 0, 18, 23, 31, 13, 36, 5, 30, 20, 3, 10, 23, 26, 17, 9, 5, 36, 13, 4, 26, 8, 36, 17, 14,
7, 30, 34, 17, 23, 16, 20, 30, 13, 25, 6, 25, 14, 8, 20, 21, 2, 13, 26, 29, 10, 19, 18, 6, 35, 13, 34, 21, 14, 20,
6, 26, 2, 16, 9, 16, 35, 15, 16, 0, 21, 22, 12, 23, 13, 33, 30, 18, 33, 33, 3, 17, 30, 9, 31, 35, 22, 18, 25, 16,

32, 2, 27, 34, 27, 30, 5, 13, 34, 5, 16, 15, 25, 4, 36, 4, 14, 23, 14, 8, 21, 36, 23, 19, 25, 8, 20, 22, 22, 5,
29, 4, 26, 32, 25, 0, 0, 14, 21, 34, 29, 10, 34, 23, 0, 8, 34, 17, 6, 18, 4, 8, 27, 13, 9, 30, 25, 22, 32, 15,
4, 20, 3, 1, 7, 10, 13, 1, 23, 9, 28, 4, 5, 18, 17, 16, 29, 6, 30, 24, 36, 18, 23, 29, 14, 13, 32, 36, 14, 12,
12, 6, 11, 10, 14, 18, 2, 21, 22, 36, 32, 36, 27, 27, 27, 27, 2, 5, 26, 5, 12, 6, 7, 31, 9, 18, 17, 24, 3, 6,
20, 11, 26, 22, 1, 9, 35, 3, 11, 31, 20, 34, 30, 15, 31, 13, 9, 18, 4, 26, 33, 1, 11, 31, 32, 22, 1, 26, 26, 20,
8, 32, 18, 13, 6, 15, 17, 36, 19, 23, 21, 0, 12, 35, 5, 32, 23, 32, 2, 24, 14, 17, 22, 19, 32, 0, 35, 4, 20, 31,
6, 9, 27, 0, 4, 20, 24, 11, 7, 26, 16, 20, 10, 2, 9, 29, 3, 36, 14, 35, 26, 19, 24, 0, 1, 30, 8, 11, 29, 3,
18, 13, 27, 24, 23, 14, 12, 14, 34, 7, 31, 19, 18, 17, 1, 7, 2, 19, 13, 31, 35, 34, 28, 0, 5, 7, 5, 9, 0, 30,
7, 11, 30, 1, 3, 1, 5, 10, 23, 18, 8, 20, 10, 3, 33, 18, 8, 23, 27, 23, 11, 23, 25, 27, 21, 26, 10, 5, 21, 14,
20, 4, 36, 8, 20, 25, 20, 19, 19, 5, 12, 16, 20, 14, 27, 4, 7, 19, 9, 25, 20, 25, 12, 17, 29, 10, 0, 12, 11, 9,
14, 2, 5, 31, 3, 17, 34, 0, 20, 2, 15, 26, 33, 26, 15, 34, 14, 34, 25, 31, 11, 9, 11, 26, 23, 23, 9, 29, 27, 30,
8, 10, 19, 23, 6, 35, 26, 17, 9, 12, 31, 30, 26, 12, 8, 25, 2, 31, 7, 35, 32, 0, 30, 3, 21, 24, 33, 34, 29, 28,
16, 17, 18, 8, 30, 2, 16, 34, 14, 10, 6, 3, 27, 31, 11, 19, 16, 12, 26, 16, 34, 27, 6, 30, 15, 21, 3, 22, 18, 28,
5, 25, 1, 29, 5, 21, 20, 17, 12, 17, 8, 26, 0, 14, 29, 7, 22, 26, 21, 36, 24, 21, 13, 16, 32, 11, 16, 17, 33, 28,
